destruction,723,3.16,38
detached,113,3.86,12
detail,724,5.55,72
detest,114,2.17,1
devil,115,2.21,25
devoted,116,7.41,51
diamond,117,7.92,8
dignified,118,7.1,7
dinner,509,7.16,91
diploma,119,8,10
dirt,725,4.17,43
dirty,590,3.08,36
disappoint,120,2.39,20
disaster,121,1.73,26
discomfort,726,2.19,7
discouraged,122,3,15
disdainful,123,3.68,2
disgusted,124,2.45,6
disloyal,125,1.93,2
displeased,126,2.79,7
distressed,127,1.94,4
disturb,727,3.66,10
diver,510,6.45,1
divorce,128,2.22,29
doctor,129,5.2,100
dog,511,7.57,75
doll,728,6.09,10
dollar,729,7.47,46
door,130,5.13,312
dove,730,6.9,4
dreadful,131,2.26,10
dream,132,6.73,64
dreary,731,3.05,6
dress,133,6.41,67
drown,591,1.92,3
dummy,732,3.38,3
dump,733,3.21,4
dustpan,555,3.98,2
earth,134,7.15,150
easy,734,7.1,125
easygoing,135,7.2,1
eat,136,7.47,61
ecstasy,735,7.98,6
education,137,6.69,214
egg,736,5.29,12
elated,138,7.45,3
elbow,737,5.12,10
elegant,139,7.43,14
elevator,738,5.44,12
embarrassed,140,3.03,8
embattled,141,4.39,1
employment,147,6.47,47
engaged,143,8,47
engine,148,5.2,50
enjoyment,145,7.8,21
ennui,146,5.09,3
enraged,149,2.46,1
erotic,512,7.43,8
errand,150,4.58,7
event,740,6.21,81
evil,741,3.23,72
excellence,151,8.38,15
excitement,152,7.5,32
excuse,153,4.05,27
execution,154,2.37,15
exercise,155,7.13,58
fabric,742,5.3,15
face,556,6.39,371
failure,156,1.7,89
fall,743,4.09,147
fame,157,7.93,18
family,158,7.65,331
famous,745,6.98,89
fantasy,746,7.41,14
farm,557,5.53,125
fascinate,159,7.34,3
fat,160,2.28,60
father,161,7.08,383
fatigued,162,3.28,3
fault,747,3.43,22
favor,748,6.46,78
fear,592,2.76,127
fearful,163,2.25,13
feeble,164,3.26,8
festive,749,7.3,2
fever,750,2.76,19
field,558,6.2,274
fight,751,3.76,98
filth,165,2.47,2
finger,752,5.29,40
fire,166,3.22,187
fireworks,513,7.55,5
fish,559,6.04,35
flabby,167,2.66,4
flag,753,6.02,16
flirt,754,7.52,1
flood,755,3.19,19
flower,168,6.64,23
foam,756,6.07,37
food,514,7.65,147
foot,757,5.02,70
fork,560,5.29,14
foul,169,2.81,4
fragrance,170,6.07,6
fraud,171,2.67,8
free,172,8.26,260
freedom,173,7.58,128
friend,174,7.74,133
friendly,175,8.43,61
frigid,758,3.5,5
frog,176,5.71,1
frustrated,177,2.48,10
fun,759,8.37,44
funeral,178,1.39,33
fungus,179,3.06,2
fur,180,4.51,13
game,760,6.98,123
gangrene,181,2.28,8
garbage,182,2.98,7
garden,761,6.71,60
garment,762,6.07,6
garter,534,6.22,2
gender,763,5.73,2
gentle,183,7.31,27
germs,764,2.86,1
gift,184,7.77,33
girl,185,6.87,220
glacier,186,5.5,1
glamour,187,6.76,5
glass,765,4.75,99
gloom,188,1.88,14
glory,189,7.55,21
god,190,8.15,318
gold,191,7.54,52
golfer,535,5.61,3
good,766,7.47,807
gossip,767,3.48,13
graduate,192,8.19,30
grass,768,6.12,53
grateful,193,7.37,25
greed,769,3.51,3
green,194,6.18,116
greet,770,7,7
grenade,771,3.6,3
grief,195,1.69,10
grime,772,3.37,7
grin,773,7.4,13
gripe,774,3.14,6
guillotine,196,2.48,2
guilty,197,2.63,29
gun,593,3.47,118
gymnast,515,6.35,1
habit,775,4.11,23
hairdryer,561,4.84,3
hairpin,776,5.26,1
hamburger,777,6.27,6
hammer,198,4.88,9
hand,778,5.95,431
handicap,779,3.29,6
handsome,199,7.93,40
haphazard,780,4.02,2
happy,200,8.21,98
hard,781,5.22,202
hardship,782,2.45,9
hat,783,5.46,56
hate,201,2.12,42
hatred,202,1.98,20
hawk,536,5.88,14
hay,784,5.24,19
headache,203,2.02,5
headlight,785,5.24,4
heal,786,7.09,2
health,204,6.81,105
heart,787,7.39,173
