Description,Valence_Mean,Valence_ SD,Arousal_ Mean,Arousal_ SD,Word Frequency
nourish,6.46,1.69,4.29,2.51,.
nude,6.82,1.63,6.41,2.09,20
nuisance,3.27,1.86,4.49,2.69,5
nun,4.93,1.89,2.93,1.8,2
nurse,6.08,2.08,4.84,2.04,17
nursery,5.73,2.3,4.04,2.74,13
obesity,2.73,1.85,3.87,2.82,5
obey,4.52,1.88,4.23,1.72,8
obnoxious,3.5,2.18,4.74,2.42,5
obscene,4.23,2.3,5.04,2.3,2
obsession,4.52,2.13,6.41,2.13,5
ocean,7.12,1.72,4.95,2.79,34
odd,4.82,2.04,4.27,2.46,44
offend,2.76,1.5,5.56,2.06,4
office,5.24,1.59,4.08,1.92,255
opinion,6.28,1.45,4.89,2.46,96
optimism,6.95,2.24,5.34,2.58,15
option,6.49,1.31,4.74,2.23,5
orchestra,6.02,1.89,3.52,2.29,60
orgasm,8.32,1.31,8.1,1.45,7
outdoors,7.47,1.8,5.92,2.55,6
outrage,3.52,2.12,6.83,2.26,4
outstanding,7.75,1.75,6.24,2.59,37
overcast,3.65,1.61,3.46,1.92,9
overwhelmed,4.19,2.61,7,2.37,4
owl,5.8,1.31,3.98,1.87,2
pain,2.13,1.81,6.5,2.49,88
paint,5.62,1.72,4.1,2.36,37
palace,7.19,1.78,5.1,2.75,38
pamphlet,4.79,1.05,3.62,2.02,3
pancakes,6.08,1.83,4.06,2.13,.
panic,3.12,1.84,7.02,2.02,22
paper,5.2,1.21,2.5,1.85,157
paradise,8.72,0.6,5.12,3.38,12
paralysis,1.98,1.44,4.73,2.83,6
part,5.11,1.78,3.82,2.24,500
party,7.86,1.83,6.69,2.84,216
passage,5.28,1.44,4.36,2.13,49
passion,8.03,1.27,7.26,2.57,28
pasta,6.69,1.64,4.94,2.04,.
patent,5.29,1.08,3.5,1.84,35
patient,5.29,1.89,4.21,2.37,86
patriot,6.71,1.69,5.17,2.53,10
peace,7.72,1.75,2.95,2.55,198
penalty,2.83,1.56,5.1,2.31,14
pencil,5.22,0.68,3.14,1.9,34
penis,5.9,1.72,5.54,2.63,.
penthouse,6.81,1.64,5.52,2.49,1
people,7.33,1.7,5.94,2.09,847
perfection,7.25,2.05,5.95,2.73,11
perfume,6.76,1.48,5.05,2.36,10
person,6.32,1.74,4.19,2.45,175
pervert,2.79,2.12,6.26,2.61,1
pest,3.13,1.82,5.62,2.15,4
pet,6.79,2.32,5.1,2.59,8
phase,5.17,0.79,3.98,1.82,72
pie,6.41,1.89,4.2,2.4,14
pig,5.07,1.97,4.2,2.42,8
pillow,7.92,1.4,2.97,2.52,8
pinch,3.83,1.7,4.59,2.1,6
pistol,4.2,2.58,6.15,2.19,27
pity,3.37,1.57,3.72,2.02,14
pizza,6.65,2.23,5.24,2.09,3
plain,4.39,1.46,3.52,2.05,48
plane,6.43,1.98,6.14,2.39,114
plant,5.98,1.83,3.62,2.25,125
pleasure,8.28,0.92,5.74,2.81,62
poetry,5.86,1.91,4,2.85,88
poison,1.98,1.44,6.05,2.82,10
politeness,7.18,1.5,3.74,2.37,5
pollute,1.85,1.11,6.08,2.42,1
poster,5.34,1.75,3.93,2.56,4
poverty,1.67,0.9,4.87,2.66,20
power,6.54,2.21,6.67,1.87,342
powerful,6.84,1.8,5.83,2.69,63
prairie,5.75,1.43,3.41,2.17,21
present,6.95,1.85,5.12,2.39,377
pressure,3.38,1.61,6.07,2.26,185
prestige,7.26,1.9,5.86,2.08,29
pretty,7.75,1.26,6.03,2.22,107
prick,3.98,1.73,4.7,2.59,2
pride,7,2.11,5.83,2.48,42
priest,6.42,2,4.41,2.71,16
prison,2.05,1.34,5.7,2.56,42
privacy,5.88,1.5,4.12,1.83,12
profit,7.63,1.3,6.68,1.78,28
progress,7.73,1.34,6.02,2.58,120
promotion,8.2,1.15,6.44,2.58,26
protected,7.29,1.79,4.09,2.77,31
proud,8.03,1.56,5.56,3.01,50
pungent,3.95,2.09,4.24,2.17,4
punishment,2.22,1.41,5.93,2.4,21
puppy,7.56,1.9,5.85,2.78,2
pus,2.86,1.91,4.82,2.06,.
putrid,2.38,1.71,5.74,2.26,.
python,4.05,2.48,6.18,2.25,14
quality,6.25,1.59,4.48,2.12,114
quarrel,2.93,2.06,6.29,2.56,20
quart,5.39,2.01,3.59,2.51,3
queen,6.44,1.43,4.76,2.18,41
quick,6.64,1.61,6.57,1.78,68
quiet,5.58,1.83,2.82,2.13,76
rabbit,6.57,1.92,4.02,2.19,11
rabies,1.77,0.97,6.1,2.62,1
radiant,6.73,2.17,5.39,2.82,8
radiator,4.67,1.05,4.02,1.94,4
radio,6.73,1.47,4.78,2.82,120
rage,2.41,1.86,8.17,1.4,16
rain,5.08,2.51,3.65,2.35,70
rainbow,8.14,1.23,4.64,2.88,4
rancid,4.34,2.28,5.04,2.27,.
rape,1.25,0.91,6.81,3.17,5
rat,3.02,1.66,4.95,2.36,6
rattle,5.03,1.23,4.36,2.18,5
razor,4.81,2.16,5.36,2.44,15
red,6.41,1.61,5.29,2.04,197
refreshment,7.44,1.29,4.45,2.7,2
regretful,2.28,1.42,5.74,2.32,1
rejected,1.5,1.09,6.37,2.56,33
relaxed,7,1.77,2.39,2.13,14
repentant,5.53,1.86,4.69,1.98,1
reptile,4.77,2,5.18,2.19,.
rescue,7.7,1.24,6.53,2.56,15
resent,3.76,1.9,4.47,2.12,8
reserved,4.88,1.83,3.27,2.05,27
respect,7.64,1.29,5.19,2.39,125
respectful,7.22,1.27,4.6,2.67,4
restaurant,6.76,1.85,5.41,2.55,41
reunion,6.48,2.45,6.34,2.35,11
reverent,5.35,1.21,4,1.6,3
revolt,4.13,1.78,6.56,2.34,8
revolver,4.02,2.44,5.55,2.39,14
reward,7.53,1.67,4.95,2.62,15
riches,7.7,1.95,6.17,2.7,2
ridicule,3.13,2.24,5.83,2.73,5
rifle,4.02,2.76,6.35,2.04,63
rigid,3.66,2.12,4.66,2.47,24
riot,2.96,1.93,6.39,2.63,7
river,6.85,1.69,4.51,2.42,165
roach,2.35,1.7,6.64,2.64,2
robber,2.61,1.69,5.62,2.72,2
rock,5.56,1.38,4.52,2.37,75
rollercoaster,8.02,1.63,8.06,1.71,.
romantic,8.32,1,7.59,2.07,32
rotten,2.26,1.37,4.53,2.38,2
rough,4.74,2,5.33,2.04,41
rude,2.5,2.11,6.31,2.47,6
runner,5.67,1.91,4.76,2.4,1
rusty,3.86,1.47,3.77,2.16,8
sad,1.61,0.95,4.13,2.38,35
safe,7.07,1.9,3.86,2.72,58
sailboat,7.25,1.71,4.88,2.73,1
saint,6.49,1.7,4.49,1.9,16
salad,5.74,1.62,3.81,2.29,9
salute,5.92,1.57,5.31,2.23,3
sapphire,7,1.88,5,2.72,.
satisfied,7.94,1.19,4.94,2.63,36
save,6.45,1.93,4.95,2.19,62
savior,7.73,1.56,5.8,3.01,6
scalding,2.82,2.12,5.95,2.55,1
scandal,3.32,1.81,5.12,2.22,8
scapegoat,3.67,1.65,4.53,2.13,1
scar,3.38,1.7,4.79,2.11,10
scared,2.78,1.99,6.82,2.03,21
scholar,7.26,1.42,5.12,2.46,15
scissors,5.05,0.96,4.47,1.76,1
scorching,3.76,1.83,5,2.74,.
scorn,2.84,2.07,5.48,2.52,4
scornful,3.02,2.03,5.04,2.56,5
scorpion,3.69,2.63,5.38,3.08,.
scream,3.88,2.07,7.04,1.96,13
scum,2.43,1.56,4.88,2.36,.
scurvy,3.19,2,4.71,2.72,1
seasick,2.05,1.2,5.8,2.88,.
seat,4.95,0.98,2.95,1.72,54
secure,7.57,1.76,3.14,2.47,30
selfish,2.42,1.62,5.5,2.62,8
sentiment,5.98,1.71,4.41,2.3,23
serious,5.08,1.59,4,1.87,116
severe,3.2,1.74,5.26,2.36,39
sex,8.05,1.53,7.36,1.91,84
sexy,8.02,1.12,7.36,1.91,2
shadow,4.35,1.23,4.3,2.26,36
shamed,2.5,1.34,4.88,2.27,1
shark,3.65,2.47,7.16,1.96,.
sheltered,5.75,1.92,4.28,1.77,4
ship,5.55,1.4,4.38,2.29,83
shotgun,4.37,2.75,6.27,1.94,8
shriek,3.93,2.22,5.36,2.91,5
shy,4.64,1.83,3.77,2.29,13
sick,1.9,1.14,4.29,2.45,51
sickness,2.25,1.71,5.61,2.67,6
silk,6.9,1.27,3.71,2.51,12
silly,7.41,1.8,5.88,2.38,15
sin,2.8,1.67,5.78,2.21,53
sinful,2.93,2.15,6.29,2.43,3
sissy,3.14,1.96,5.17,2.57,.
skeptical,4.52,1.63,4.91,1.92,7
skijump,7.06,1.73,7.06,2.1,.
skull,4.27,1.83,4.75,1.85,3
sky,7.37,1.4,4.27,2.17,58
skyscraper,5.88,1.87,5.71,2.17,2
slap,2.95,1.79,6.46,2.58,2
slaughter,1.64,1.18,6.77,2.42,10
slave,1.84,1.13,6.21,2.93,30
sleep,7.2,1.77,2.8,2.66,65
slime,2.68,1.66,5.36,2.63,1
slow,3.93,1.6,3.39,2.22,60
slum,2.39,1.25,4.78,2.52,8
slush,4.66,1.88,3.73,2.23,.
smallpox,2.52,2.08,5.58,2.13,2
smooth,6.58,1.78,4.91,2.57,42
snake,3.31,2.2,6.82,2.1,44
snob,3.36,1.81,5.65,2.36,1
snow,7.08,1.83,5.75,2.47,59
snuggle,7.92,1.24,4.16,2.8,4
social,6.88,1.82,4.98,2.59,380
soft,7.12,1.34,4.63,2.61,61
solemn,4.32,1.51,3.56,1.95,12
song,7.1,1.97,6.07,2.42,70
soothe,7.3,1.85,4.4,3.08,2
sour,3.93,1.98,5.1,1.95,3
space,6.78,1.66,5.14,2.54,184
spanking,3.55,2.54,5.41,2.73,.
sphere,5.33,0.87,3.88,1.99,22
spider,3.33,1.72,5.71,2.21,2
spirit,7,1.32,5.56,2.62,182
spouse,7.58,1.48,5.21,2.75,3
spray,5.45,1.63,4.14,2.28,16
spring,7.76,1.51,5.67,2.51,127
square,4.74,1.02,3.18,1.76,143
stagnant,4.15,1.57,3.93,1.94,5
star,7.27,1.66,5.83,2.44,25
startled,4.5,1.67,6.93,2.24,21
starving,2.39,1.82,5.61,2.53,6
statue,5.17,0.7,3.46,1.72,17
stench,2.19,1.37,4.36,2.46,1
stiff,4.68,1.97,4.02,2.41,21
stink,3,1.79,4.26,2.1,3
stomach,4.82,2.06,3.93,2.49,37
stool,4.56,1.72,4,2.14,8
storm,4.95,2.22,5.71,2.34,26
stove,4.98,1.69,4.51,2.14,15
street,5.22,0.72,3.39,1.87,244
stress,2.09,1.41,7.45,2.38,107
strong,7.11,1.48,5.92,2.28,202
stupid,2.31,1.37,4.72,2.71,24
subdued,4.67,1.31,2.9,1.81,8
success,8.29,0.93,6.11,2.65,93
suffocate,1.56,0.96,6.03,3.19,1
sugar,6.74,1.73,5.64,2.18,34
suicide,1.25,0.69,5.73,3.14,17
sun,7.55,1.85,5.04,2.66,112
sunlight,7.76,1.43,6.1,2.3,17
sunrise,7.86,1.35,5.06,3.05,10
sunset,7.68,1.72,4.2,2.99,14
surgery,2.86,2.19,6.35,2.32,6
surprised,7.47,1.56,7.47,2.09,58
suspicious,3.76,1.42,6.25,1.59,13
swamp,5.14,2.24,4.86,2.36,5
sweetheart,8.42,0.83,5.5,2.73,9
swift,6.46,1.76,5.39,2.53,32
swimmer,6.54,1.64,4.82,2.49,.
syphilis,1.68,1.23,5.69,3.25,.
table,5.22,0.72,2.92,2.16,198
talent,7.56,1.25,6.27,1.8,40
tamper,4.1,1.88,4.95,2.01,1
tank,5.16,1.87,4.88,1.86,12
taste,6.66,1.57,5.22,2.38,59
taxi,5,1.96,3.41,2.14,16
teacher,5.68,2.12,4.05,2.61,80
tease,4.84,2.51,5.87,2.56,6
tender,6.93,1.28,4.88,2.3,11
tennis,6.02,1.97,4.61,2.6,15
tense,3.56,1.36,6.53,2.1,15
termite,3.58,2.08,5.39,2.43,.
terrible,1.93,1.44,6.27,2.44,45
terrific,8.16,1.12,6.23,2.73,5
terrified,1.72,1.14,7.86,2.27,7
terrorist,1.69,1.42,7.27,2.38,.
thankful,6.89,2.29,4.34,2.31,6
theory,5.3,1.49,4.62,1.94,129
thermometer,4.73,1.05,3.79,2.02,.
thief,2.13,1.69,6.89,2.13,8
thorn,3.64,1.76,5.14,2.14,3
thought,6.39,1.58,4.83,2.46,515
thoughtful,7.65,1.03,5.72,2.3,11
thrill,8.05,1.48,8.02,1.65,5
tidy,6.3,1.56,3.98,2.22,1
time,5.31,2.02,4.64,2.75,1599
timid,3.86,1.55,4.11,2.09,5
tobacco,3.28,2.16,4.83,2.9,19
tomb,2.94,1.88,4.73,2.72,11
tool,5.19,1.27,4.33,1.78,40
toothache,1.98,1.15,5.55,2.51,.
tornado,2.55,1.78,6.83,2.49,1
torture,1.56,0.79,6.1,2.77,3
tower,5.46,1.75,3.95,2.28,13
toxic,2.1,1.48,6.4,2.41,3
toy,7,2.01,5.11,2.84,4
tragedy,1.78,1.31,6.24,2.64,49
traitor,2.22,1.69,5.78,2.47,2
trash,2.67,1.45,4.16,2.16,2
trauma,2.1,1.49,6.33,2.45,1
travel,7.1,2,6.21,2.51,61
treasure,8.27,0.9,6.75,2.3,4
treat,7.36,1.38,5.62,2.25,26
tree,6.32,1.56,3.42,2.21,59
triumph,7.8,1.83,5.78,2.6,22
triumphant,8.82,0.73,6.78,2.58,5
trophy,7.78,1.22,5.39,2.44,8
trouble,3.03,2.09,6.85,2.03,134
troubled,2.17,1.21,5.94,2.36,31
truck,5.47,1.88,4.84,2.17,57
trumpet,5.75,1.38,4.97,2.13,7
trunk,5.09,1.57,4.18,2.19,8
trust,6.68,2.71,5.3,2.66,52
truth,7.8,1.29,5,2.77,126
tumor,2.36,2.04,6.51,2.85,17
tune,6.93,1.47,4.71,2.09,10
twilight,7.23,1.8,4.7,2.41,4
ugly,2.43,1.27,5.38,2.23,21
ulcer,1.78,1.17,6.12,2.68,5
umbrella,5.16,1.57,3.68,1.99,8
unfaithful,2.05,1.55,6.2,2.7,1
unhappy,1.57,0.96,4.18,2.5,26
unit,5.59,1.87,3.75,2.49,103
untroubled,7.62,1.41,3.89,2.54,.
upset,2,1.18,5.86,2.4,14
urine,3.25,1.71,4.2,2.18,1
useful,7.14,1.6,4.26,2.47,58
useless,2.13,1.42,4.87,2.58,17
utensil,5.14,1.39,3.57,1.98,.
vacation,8.16,1.36,5.64,2.99,47
vagina,6.14,1.77,5.55,2.55,10
valentine,8.11,1.35,6.06,2.91,2
vampire,4.26,1.86,6.37,2.35,1
vandal,2.71,1.91,6.4,1.88,1
vanity,4.3,1.91,4.98,2.31,7
vehicle,6.27,2.34,4.63,2.81,35
venom,2.68,1.81,6.08,2.44,2
vest,5.25,1.33,3.95,2.09,4
victim,2.18,1.48,6.06,2.32,27
victory,8.32,1.16,6.63,2.84,61
vigorous,6.79,1.54,5.9,2.66,29
village,5.92,1.34,4.08,1.87,72
violent,2.29,1.78,6.89,2.47,33
violin,5.43,1.98,3.49,2.26,11
virgin,6.45,1.76,5.51,2.06,35
virtue,6.22,2.06,4.52,2.52,30
vision,6.62,1.84,4.66,2.43,56
volcano,4.84,2.14,6.33,2.21,2
vomit,2.06,1.57,5.75,2.84,3
voyage,6.25,1.91,5.55,2.23,17
wagon,5.37,0.97,3.98,2.04,55
war,2.08,1.91,7.49,2.16,464
warmth,7.41,1.81,3.73,2.4,28
wasp,3.37,1.63,5.5,2.17,2
waste,2.93,1.76,4.14,2.3,35
watch,5.78,1.51,4.1,2.12,81
water,6.61,1.78,4.97,2.49,442
waterfall,7.88,1.03,5.37,2.84,2
wealthy,7.7,1.34,5.8,2.73,12
weapon,3.97,1.92,6.03,1.89,42
weary,3.79,2.12,3.81,2.29,17
wedding,7.82,1.56,5.97,2.85,32
whistle,5.81,1.21,4.69,1.99,4
white,6.47,1.59,4.37,2.14,365
whore,2.3,2.11,5.85,2.93,2
wicked,2.96,2.37,6.09,2.44,9
wife,6.33,1.97,4.93,2.22,228
win,8.38,0.92,7.72,2.16,55
windmill,5.6,1.65,3.74,2.13,1
window,5.91,1.38,3.97,2.01,119
wine,5.95,2.19,4.78,2.34,72
wink,6.93,1.83,5.44,2.68,7
wise,7.52,1.23,3.91,2.64,36
world,6.5,2.03,5.32,2.39,787
wounds,2.51,1.58,5.82,2.01,8
writer,5.52,1.9,4.33,2.45,73
yacht,6.95,1.79,5.61,2.72,4
yellow,5.61,1.94,4.43,2.05,55
young,6.89,2.12,5.64,2.51,385
youth,6.75,2.29,5.67,2.52,82
zest,6.79,2.04,5.59,2.66,5
FALSE,3.27,1.4,3.43,2.09,29
